TWEETS Data	positiveword1	positiveword2	negativeword1	Nword2	nword3	NEGtopos	postoneg	POSadj1	posadj2	label	Word_Count
زندگی|NN اپنے|GR لہو|NN کا|P نام|NN ہےزندگی|AA ایک|CA آرزو|NN ے|NN خام|ADJ ہے|VB زندگی|NN حسرت|NN بھری|ADJ فریاد|NN ہے|VB زندگی|NN گویا|SC کسی|KD یاد|NN ہےسوزش|UNK درد|NN جگر|NN ہے...|UNK 	1	0	2	2	2	0	0	2	2	0	24
| ایک|CA مشورہ|NN ھے۔۔۔۔|UNK #چندے_سے_انقلاب|UNK تو|SC ممکن|ADJ نہیں|NEG بنی|VB گالا|VB کا|P کنکشن|NN شاید|ADV بحال|ADJ ھوجائے۔۔۔۔|UNK یا|CC پھر|ADV پختون|NN ڈیزل|NN ھی|NN سے|SE کام|NN چلایے|VB	0	0	0	0	0	0	2	1	2	0	23
جس|REP دن|NN ہم|PP میں|P دین|NN کا|P فہم|NN پیدا|NN ہو|VB جائے|AA گا|TA اس|PD دن|NN سارے|ADJ مولویوں|NN کو|P اپنی|GR اپنی|GR دوکانیں|NN بند|ADJ کر|VB کے|P بهاگنا|UNK پڑ|AA جائے|AA گا!,N|UNK	1	0	2	0	0	0	0	2	0	0	26
لوگوں|NN سے|SE دھرنے|VB کے|P لیے|ADV چندہ|NN مانگنے|VB والا|WALA اپنا|GR 300|CA کنال|U کا|P بنی|VB گالہ|NN کا|P گھر|NN کیوں|QW نہیں|NEG پیج|NN کر|VB دھرنے|VB خرچے|NN پورے|ADJ کرتا؟#KaptanDiesel,P|UNK	0	0	2	2	2	0	1	0	0	0	24
ریاست|NN خلافت|NN اسلام|NN کی|P محافظ|NN اور|CC مسلمانوں|NN کے|P امور|NN کی|P نگہبان|NN ھوتی|VB ھے|AA اگر|SC ان|PD دونوں|OR فرائض|NN کی|P ادائیگی|NN کو|P ترک|NN کرتی|VB ھے|AA تو.|UNK	1	1	2	2	2	0	0	0	0	0	24
کچی|ADJ شراب|NN پی|VB کر|VB قائم|ADJ علی|PN شاہ|PN (شہید)ھوگئےپٹواریوں|UNK کو|P اطلاع|NN دی|VB جاتی|AA ہےکہ|SC شاہ|PN جی|PN کی|P چیتا|NN کو|P بعد|NN از|P عصر|NN جلایا|VB جائے|AA گا|TA 	0	0	2	2	0	0	0	2	0	0	24
الٰہی|PN محبوب|NN کل|Q جہاں|AP کو|P دل|NN و|CC جـــــــگر|UNK کا|P سلام|NN پہنچےنفس|UNK نفس|NN کا|P درود|NN پہنچے،|UNK نظر|NN نظر|NN کا|P سلام|NN پہنچـــــــےصلی|UNK اللہ|PN علیہ|NN وسلم,P|UNK	1	1	0	0	0	0	0	0	0	1	23
حضرت|NN علی|NN رضی|PN اللہ|NN عنہ|NN کہتے|VB ہیں|TA رسول|PN اللہ|PN صلی|PN اللہ|PN علیہ|PN وسلم|PN نے|P فرمایا:|NN ’’مہدی|UNK ہمارے|G اہل|ADJ بیت|NN میں|P سے|SE ہو|VB گا|TA اور..UNK	1	0	0	0	0	0	0	1	0	1	24
دوبئی|NN ٹیسٹ|NN کے|P پہلے|NN دن|NN پاکستان|PN کی|P آسٹریلیا|PN کے|P خلاف|NN بیٹنگ|NN مشکلات|NN کا|P شکار۔۔|UNK ۔۔۔میچ|UNK پی|PN ٹی|PN وی|PN سپورٹس|PN پر|P براہ|NN راست,N|UNK	1	0	2	2	2	0	0	0	0	0	22
"آج|NN میرے|G مضمون|NN کا|P عنوان|NN ہے|TA کہ|SC ""|PM بھائی|NN صرف|ADV وہ|PP ہوتے|VB ہیں|VB جنہیں|REP اللہ|PN نے|P ہمارا|G بھائی|NN بنایا|VB ہے|TA ""کچھ|UNK لوگوں|NN کو|P میرا...|UNK"	0	0	0	0	0	0	0	0	0	2	24
| لبرل|PN اس|PD لئے|NN بنتے|VB ہیں|TA کہ|SC یہاں|AP اقلیت|NN میں|P ہیں|TA اکثریت|NN میں|P ھوتے|VB ایران|PN عراق|PN شام|NN کی|P طرح|NN تو|I عمر|NN عثمان|NN عائشہ|NN نام|NN رکھنے|VB پر|P لٹکا|VB دیتے|VB	1	1	2	2	0	0	0	0	0	1	28
سید|NN تو|I خود|RP مہاجر|NN ہیں،|UNK خورشید|PN شاہ|PN کیسا|AKP سید|NN ہے|VB جسے|REP اپنے|GR سید|NN ہونے|VB پر|P ندامت|NN اور|CC جاگیردار|NN ہونے|VB پر|P فخر|NN ہے؟,N|UNK	1	0	2	2	0	0	0	0	0	0	22
عمران|NN خان|NN صاحب|NN کو|P 30اور|UNK 31اگست|UNK کی|P درمیانی|ADJ شب|NN یقینا|ADV یاد|NN ہو|VB گی|TA جب|AP انکے|NN رفقاءاور|NN کارکنان|NN جلسے|NN کے|P بعد|NN وہاں|AP سے|SE جا|AA چکے.|UNK	1	0	0	0	0	0	0	1	0	1	24
| کل|Q سنا|VB ھے|AA جیو|PN نیوز|PN په|PN عمران|NN خان|NN کا|P پرانا|ADJ انٹرویو|NN چلایا|VB تھا.|UNK کیا|QW اب|AP جیو|PN معافی|NN مانگنے|VB والی|WALA ھے؟|UNK ویسے|ADJ فائده|PN بھی|I جیوکا|UNK اسی|PP میں|P ھے|AA	1	0	0	0	0	0	0	1	0	1	28
کپتان|NN مصباح|ADJ الحق|PN کاکہنا|P ہے|TA کہ|SC وہ|PP اپنی|GR کارکردگی|NN سےبہت|NN مطمئن|ADJ ہیں،|UNK کینگروزکے|UNK خلاف|NN کامیابی|NN کے|P لیے|ADV نئےکھلاڑیوں|NN کو|P اعتماد|NN دینا|VB ہوگا۔,|UNK	1	1	2	0	0	0	0	1	0	1	22
| دیکھیں|VB یہ|PD بات|NN بالکل|ADV درست|ADJ ھے۔|UNK سڑکیں|NN بلاک|NN کرنا|VB کسی|KD طور|NN درست|ADJ نہیں۔|UNK لیکن|SC انکا|PN نام|NN ٹویٹر|NN پر|P یا|CC حقیقی|ADJ زندگی|NN میں|P احترام|NN سے|SE لینا|VB چاھئے۔,N|UNK	0	0	2	2	0	1	0	0	0	0	27
تحریکِ|NN انصاف|NN کے|P دوست|NN دل|NN کھول|VB کر|VB برا|ADJ بھلا|ADJ کہیں،گالیاں|UNK دیں۔۔۔لیکن|UNK وقت|NN آئے|VB گا|TA کہ|SC ثابت|ADJ ہو|VB جائے|AA گا|TA کہ|SC ہمارا|G فیصلہ|NN ہم..|UNK	0	0	2	0	0	0	0	2	0	0	23
پیمرا|NN کے|P ایکشن|NN پرپرزور|UNK مذمت|NN کرتے|VB والوں|WALA کوآج|NN سانپ|NN سوگھ|UNK گیا|AA کیا|VB ؟کراچی|UNK کے|P اکثر|ADJ علاقوں|NN میں|P نیوز|PN چینلز|PN کی|P نشریات|NN بند,N|UNK	0	0	2	2	0	0	0	0	0	0	22
"یورپ،|UNK کینیڈا|PN اور|CC امریکہ|PN کے|P عوام|NN اپنے|GR پیسے|NN اور|CC زیور|NN کی|P سخت|ADJ حفاظت|NN کریں|VB ورنہ|SC وہاں|AP بھی|I #چندے_سے_انقلاب|UNK آ|VB سکتا|AA ہے|TA ـ"",N|UNK"	1	0	2	0	0	0	0	2	0	0	22
دھرنے|VB کے|P خاتمے|NN پر|P منفی|ADJ بیان|NN بازی|NN نہ|NEG کی|P جائے،|UNK وزیر|NN اعظم|NN کی|P ہدایتاسلام|UNK آباد:|UNK وزیر|NN اعظم|NN میاں|NN محمد|PN نواز|NN شریف|ADJ نے...|UNK	0	0	2	2	0	1	0	0	0	0	22
سندھ|NN میں|P ہر|Q قوم|NN اپنی|GR شناخت|NN میں|P برقرار|ADJ رہی|AA الطاف|NN حسین|ADJ نے|P مہاجر|NN نواز|NN شریف|ADJ نے|P پنچابی|NN اور|CC پی|VB پی|CA نے|P سندھی|PN ووٹ|NN بٹورا|VB جس|REP کا|P نتیجہ|NN سب|Q کے|P سامنے|NN ہے,P|UNK	0	0	2	0	0	0	0	1	1	1	31
"| زرداری|PN نےزبان|ADJ سے|SE چندے|NN کا|P لفظ|NN منہ|NN سے|SE نکالا|VB تو|I ٹوٹ|VB پڑے|AA اسکی|G اپیل|NN پرلوگوں|NN نےسمجھاشاید|UNK کہہ|VB رہا|AA ہے|TA چُندےیعنی|UNK دیوار|NN میں|P چُندے"""",P|UNK"	0	0	2	0	0	0	0	0	0	0	24
رسول|PN اللہ|PN صلی|PN اللہ|PN علیہ|PN وسلم|PN نےسودکھانے|UNK والے،|UNK اس|PP کے|P وکیل،|UNK اسکے|G کاتب|NN اور|CC اس|PP کے|P گواہ|NN پر|P لعنت|NN فرمائی|VB ہے|TA اور|CC فرمایا|VB کہ|SC وہ|PP سارے|ADJ برابر|ADJ ہیں(مسلم),P|UNK	0	0	2	2	0	0	0	0	0	0	28
رو|PN عمران|NN رو|PN ..یہ|UNK قوم|NN بے|PN حس..ڈھیٹ|UNK ..اور|UNK بے|PN غیرت|NN ہو|VB چکی|AA .اسے|UNK احساس|NN نہیں|NEG ہو|VB سکتا|AA کے|P کرپٹ|NN حکمران|NN انکے|NN ساتھ|NN کیا|VB کرتے,N|UNK	0	0	2	2	0	0	0	0	0	2	24
مسائل|NN سے|SE آگاہی|NN کا|P شور|NN تو|SC آپ|PP بهی|NN دل|NN کهول|VB کر|KER بیان|NN کرتے|VB ہیں|TA آپ|PP کیوں|QW کوئ|NN حل|NN نہیں|NEG بتاتے؟یہ|UNK ملک|NN صرف|ADV سیاست|NN دانوں|NN کا|P ہی|I ہے|TA جاوید|PN چوہدری|NN صاحب؟,N|UNK	1	0	2	2	0	0	2	0	0	0	30
|VB آج|NN ایک|CA پٹواری|NN کہتا|VB اسلام|NN کہتا|VB ہے|VB اگر|SC کوئی|Q گھر|NN سے|SE بھاگ|VB کے|P غلط|ADJ کام|NN کر|VB لے|AA تو|SC انکی|ADJ آپس|NN میں|P شادی|NN کروا|VB دو۔یہ|UNK کونسا|AKP اسلام|NN ہے؟,N|UNK	0	0	2	0	0	0	0	2	0	0	28
راولپنڈی فتح|UNK جنگ|NN بھرسان|UNK وین|PN جوٹینکرکی|UNK ٹکر2بارڑا|UNK فوت10زخمی|UNK جماعت|NN اھلسنت|NN پاران|UNK کراچی|PN م|PN سبھاٹی|UNK حضرت|NN عمررضی|ADJ جی|PN شھادت|NN جی|PN موقعی|ADJ تی|AA ریلی|NN کڈی|PN ویندی,N|UNK	0	0	2	2	0	0	0	0	0	0	24
| کو|P جواب|NN دینا|VB چائے|NN اب|AP هر|PN غریب|ADJ کارکنوں|NN کو|P جو|REP اپنا|GR سب|Q لوٹا|VB کہ|SC سابت|NN قدم|NN رهے|AA ظالموں|NN سے|SE زیادہ|ADV ظلم|NN کیا|VB هے|PN بغیر|NN مشورہ|NN لیے|ADV دهرنا|VB ختم|ADJ کر|VB کہ,N|UNK	0	0	2	2	2	0	0	2	0	0	31
ہمارے|G ممبر|NN چچا|PN چنگم|VB کی|P جانب|NN سے|SE بلاول|NN کی|P کراچی|PN جلسے|NN میں|P کی|VB گئی|AA تقریر|NN کی|P زبردست|ADJ پیروڈی|NN بھابی|NN ہوں|TA میں|P بھابی|NN ہوں|TA -.|UNK	0	0	2	0	0	0	0	1	0	0	24
جب|AP زخم|NN ناسور|NN بن|VB جائیں’|UNK تو|SC زخم|NN لگانے|VB والے|WALA کو|P فراموش|NN کرنا|VB نا|ADV ممکن|ADJ ہوجاتا|AA ہے۔|UNK یہ|PD بات|NN وہی|PP سمجھ|VB سکتا|AA ہے|VB جو|REP زخم|NN اٹھاتا|VB ہے۔,|UNK	0	0	2	2	2	0	2	1	0	0	26
دنیائے|NN حادثات|NN ہے|VB اک|NN درد|NN ناک|NN گیتدنیا|UNK کے|P حادثات|NN سے|SE گھبرا|NN کے|P پی|VB گیاکانٹے|UNK تو|I خیر|NN کانٹے|NN ہیں|TA ان|PP سےگلہ|NN ہی|I کیاپھولوں|UNK کی|P واردات|NN سے|SE گھبرا|NN کے|P پی|VB گیا,N|UNK	0	0	2	0	0	0	0	0	0	0	29
آقا|PN صلی|PN اللہ|PN علیہ|NN و|CC آلہ|NN وسلم|PN کے|P صحابہ|NN صحبت|NN کی|P وجہ|NN سے|SE ہی|I اتنے|Q پختہ|ADJ ایمان|NN اور|CC یقین|NN والے|WALA تهے|NN اور|CC ان|PP میں|P ان|PP کے|P مرشد|NN کا|P عکس|NN تها,P|UNK	1	1	0	0	0	0	0	1	0	1	30
ن|PN لیگ|PN وہ|PP پارٹی|NN ہےجوضیاکی|UNK بندوق|NN کےزور|NN پہ|SC وبائی|ADJ مرض|NN کی|P طرح|NN پهیلی|UNK جبک|PN ہتحریک|UNK انصاف|NN آہستہ|ADJ آہستہ|ADJ خوشبو|NN کی|P طرح|NN اپنا|GR اثر|NN دکھا|VB رہی|AA ہے,N|UNK	1	0	2	0	0	0	0	2	0	0	26
جلسے|NN کی|P ناکامی|NN کا|P غصه|NN جیو|PN نیوز|PN کے|P نمائیندے|NN پر|P اسکا|G کیمره|UNK توڑ|VB کر|VB نکالا|VB گیا.|UNK خان|NN جی|PN آپ|PP حقیقت|NN چھپا|VB نھی|PN سکتے|AA	0	0	2	2	2	0	0	0	0	0	23
ایم|PN کیو|PN ایم|PN کو|P منانے|VB کی|P کوئی|Q کوشش|NN نہیں|NEG کی،رحمان|UNK ملک گویا|UNK اس|PD بار|NN خود|RP ہی|I ذلیل|NN ہو|VB کہ|SC واپس|ADJ آ|VB جاویں|NN گےجیسے|AA طاھرکینیڈوی|UNK ذلیل|NN و|CC رسوا|VB ہو|VB کہ|SC آ|VB گئے,N|UNK	1	0	2	2	0	0	2	0	0	0	31
مجھے|PP ایسا|PP لطف|NN عطا|NN کیا،|UNK جو|REP ہجر|NN تھا|TA نہ|NEG وصال|NN تھامرے|UNK موسموں|NN کے|P مزاج|NN داں،|UNK تجھے|NN میرا|G کتنا|AKP خیال|NN تھاکسی|UNK اور|CC چہرے|NN کو...|UNK ,P|UNK	1	1	0	0	0	1	0	0	0	1	24
| سیتا|PN وایٔٹ|UNK کا|P وقوعہ|NN تو|SC مملکت|NN خداداد|PN پاکستان|PN کی|P حدود|NN سے|SE باہر|NN کا|P ہے،اس|UNK لیے|ADV اسلامی|PN حد|NN لاگو|ADJ نہیں|NEG ہو|VB سکتی،,N|UNK	0	0	0	0	0	0	2	0	0	0	22
آج|NN سے|SE بیس|CA سال|NN پہلے|NN ایک|CA عزیز|PN تعلیم|NN کے|P سلسلے|NN میں|P امریکہ|PN میں|P مقیم|ADJ تھا،|UNK اس|PP نے|P ایک|CA بار|NN مجھے|PP بتایا|VB کہ|SC جس|REP عمارت|NN میں|P اس...|UNKl,O|UNK	0	0	0	0	0	0	0	0	0	2	26
ڈیرہ|NN غازی|ADJ خان|NN :|PM تھانا|VB گدائی|NN میں|P زیر|NN حراست|NN ملزم|ADJ نے|P مبینہ|ADJ طور|NN پر|P خود|RP کو|P آگ|NN لگا|VB دی،زخمی|UNK ملزم|ADJ کو|P اسپتال|NN منتقل|ADJ کردیا|VB گیا،|UNK پولیس|NN	0	0	2	2	0	0	0	0	0	0	26
راولپنڈی|PN :ترقی|UNK کی|P بجائے|ADV تنزلی|NN کی|P رفتا|NN ر|PN بہت|ADV تیز|ADJ ہے|TA کرپٹ|NN اشرافیہ|NN اپنے|GR بیرون|ADJ ملک|NN اکاؤنٹس|NN کو|P بھررہی|VB ہے|TA جماعت|NN اسلامی.|UNK	1	0	0	2	2	0	0	2	0	0	22
۔شہدا|UNK نے|P پکارا|VB ہےتم|PN کوفردوس|NN کے|P بالا|NN خانوں|NN سے۔ہم|UNK راہ|NN وفا|PN میں|P کٹ|VB آۓ|NN تم|PP کوپیارہےابھی|UNK تک|P اپنی|GR جانوں|NN سے۔28ذوالحج|UNK یوم|PN شھادت|NN محمد|PN عثمان|NN باغائي,P|UNK	1	1	0	0	0	0	0	0	0	1	25
| میں|P منٹو|NN سے|SE شرمنده|ADJ هوں|NN آج.|UNK .|SM .|SM دل|NN چاہاکہ|ADV ترتیب|NN ٹهیک|VB کردوں.|UNK .مگر|UNK امرتا|PN پریتم|PN سب|Q سے|SE نچلی|ADJ شیلف|NN میں|P دیکه|VB کر|VB دو|CA آنسو|NN حلق|NN میں|P اتارے.,N|UNK	1	0	2	2	0	0	0	0	0	0	29
نیوز|PN چینلز|PN کے|P پرائم|PN ٹائم|NN پر|P لایا|VB گیا|AA انقلاب|NN اٹھ|VB گیاخطرہ|UNK ہے|TA انقلاب|NN کے|P روح|NN رواں|ADJ CONSTIPATIONکا|UNK شکار|NN نہ|NEG ہوں|TA لہذا|SC وقت|NN پر|P اسبغول|NN پی|VB لیا|AA کریں,N|UNK	1	0	2	2	2	1	0	0	0	0	27
پانچ|CA فیصد|NN دیوبندی|NN تک فیری|NN اقلیت|NN کی|P پچھتر|CA فیصد|NN سنی|VB بریلوی|PN صوفی|NN اکثریت|NN کے|P خلاف|NN دہشت|NN گردی|NN کب|AKP تک؟|UNK –|PN فاروق|PN چشتی|PN	1	0	2	2	2	0	0	0	0	0	22
پاکستان|PN میں|P جب|AP لیڈر|NN کی|P موت|NN اتی|VB ھے|AA وہ|PP چینل|NN بند|ADJ کرنے|VB کو|P دوڑتا|VB ھے.آپس|UNK کی|P بات|NN ھے|AA ن|PN لیگی|PN لیڈر|NN اور|CC گیدڑ|NN میں|P فرق|NN تلاش|NN کرنا|VB ناممکن|ADJ ھے|AA	1	0	2	2	0	0	0	2	0	0	29
مفتی|ADJ محمود|PN نےکہا|PN تھاخدا|UNK کا|P شکر،|UNK ہم|PP پاکستان|PN بنانےکےگناہ|UNK میں|P شامل|ADJ نہیں|NEG تھےپھرمفتی|UNK صاب|NN مغربی|ADJ جمہوریت|NN کا|P حصہ|NN دار|NN بن|VB کرسرحد|AA کےوزیراعلی|PN لگ|VB گئے|AA 😐,P|UNK	1	0	2	0	0	1	0	0	0	1	25
ر|PN ایک|CA بچے|NN کی|P سکول|NN میں|P موجودگی|NN یقینی|ADJ بنانے|VB کےلئے|NN ریاست|NN کو|P تعلیمی|ADJ معاملات|NN سے|SE نمٹنے|VB کےلئے|NN نئی|ADJ قوت|NN کےساتھ|PN عزم|NN کو|P یقینی…|UNK ,P|UNK	1	0	0	0	0	0	0	1	1	1	24
جس|REP ملک|NN میں|P انصاف|NN نہیں|NEG ملتا|VB ،|PM وہاں|AP حق|NN کا|P بول|VB بالا|NN کیسے|AKP ہو|VB سکتا|AA ہے؟|UNK اس|PD ملک|NN کو|P سب|Q سے|SE زیادہ|ADV نقصان|NN اہل|ADJ انصاف|NN نے|P دیا:#,N|UNK	1	0	2	0	0	0	2	0	0	0	27
آج|NN قادری|ADJ صاحب|I نے|P کچھ|Q عمران|NN خان|NN سے|SE مایوس|ADJ ہو|VB کر|KER اور|CC کچھ|Q ڈیل|PN کے|P نتیجے|NN میں|P اپنا|GR دھرنا|VB ختم|ADJ کر|VB دیا-|UNK اس|PD فیصلے|NN کے|P کئی...|UNK	1	0	2	0	0	0	0	2	0	0	26
حضرت|NN عمرؓ|NN اکثر|ADV کہا|VB کرتے|VB تھے|TA اے|PN عمرؓ|NN تجھے|NN تو|SC اونٹ|NN چلانے|VB نہ|NEG آتے|VB تھے|TA آج|NN اسلام|NN نے|P تجھے|NN کہاں|AKP پہنچا|VB دیا,P|UNK	0	0	2	0	0	0	2	0	0	0	22
@BholiSK|UNK اور|CC ویسے|ADJ بھی|I بیمارکا|UNK علا|PN ج|PN کیا|VB جاتاھے|AA مردے|NN کانھیں.نورے|UNK اور|CC زرداری|PN کا|P علاج|NN نھیں|NN ھو|VB سکتا|AA کیونکه|PN یه|PN مر|VB چکے|AA ھیں|NN ..تدفین|UNK باقی|ADJ ھے|AA ان|PP کی.,N|UNK	0	0	2	2	0	0	0	0	0	0	28
مولانا|PN صاحب|I آپ|PP کی|P عزت|NN لوگ|NN آپ|PP کے|P والد|NN صاحب|NN کی|P وجہ|NN سے|SE کرتے|VB ہیں،|UNK کل|Q آپ|PP کے|P مدرسوں|NN پر|P بھی|I کئی|Q سوالات|NN اٹھ|VB سکتے|AA ہیں|TA f,P|UNK	1	0	0	0	0	0	0	0	0	1	27
آپؓ|NN کا|P اسم|NN گرامی|NN ’’عمر‘‘|UNK لقب|NN ’’فاروق‘‘|UNK اور|CC کنیت|NN ’’ابوحفص‘‘|UNK ہے۔|UNK سیدنا|PN عمرؓ|NN کا|P نسب|NN مبارک|ADJ نویں|OR پشت|NN پر|P سیدنا|PN محمدﷺ|UNK سے|SE جا|VB ملتا|VB ہے۔سیدنا|UNK عمر,P|UNK	1	0	0	0	0	0	0	0	1	1	26
پارلیمنٹ|NN ،|PM صوبائی|ADJ اسمبلیاں|NN ،|PM وفاقی|ADJ اور|CC صوبائی|ADJ حکومتیں|NN عوام|NN کی|P پریشانیوں|NN اور|CC معاشرے|NN کی|P بدترین|ADJ ٹوٹ|VB پھوٹ|NN سے|SE بے|PN خبر|NN ہیں|TA .,N|UNK	0	0	2	2	2	0	0	0	2	0	23
|PN اور|CC اگر|SC پی|PN ٹی|PN آئ|PN نے|P کها|VB که|PN الیکشن|NN ضمنی|ADJ نهیں|NEG ھونے|VB دینے|VB تو|SC پانچ|CA فی|Q صد|NN ٹرن|PN آوٹ|NN ھوگا.|UNK اور|CC یا|CC نهیں|NEG ھونگے.,N|UNK	0	0	0	0	0	0	2	0	0	0	25
